DeviceName	Стенд N 2
LTime	602,737174
KevPerCh	
NullEnCh	
	
Channel	Counts
1704	0
1705	0
1706	2
1707	1
1708	0
1709	0
1710	0
1711	0
1712	0
1713	0
1714	0
1715	1
1716	1
1717	0
1718	0
1719	0
1720	0
1721	0
1722	0
1723	1
1724	1
1725	0
1726	0
1727	0
1728	0
1729	0
1730	0
1731	1
1732	1
1733	0
1734	1
1735	0
1736	0
1737	0
1738	0
1739	0
1740	2
1741	0
1742	0
1743	0
1744	1
1745	0
1746	0
1747	0
1748	1
1749	0
1750	0
1751	0
1752	0
1753	1
1754	0
1755	0
1756	0
1757	0
1758	0
1759	0
1760	0
1761	0
1762	0
1763	1
1764	0
1765	0
1766	1
1767	0
1768	1
1769	0
1770	0
1771	0
1772	0
1773	1
1774	0
1775	0
1776	0
1777	0
1778	0
1779	0
1780	0
1781	0
1782	0
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	1
1791	0
1792	0
1793	1
1794	0
1795	0
1796	0
1797	0
1798	0
1799	0
1800	0
1801	0
1802	0
1803	0
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	1
1812	0
1813	0
1814	1
1815	0
1816	1
1817	0
1818	0
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	1
1827	0
1828	0
1829	0
1830	1
1831	0
1832	0
1833	0
1834	0
1835	0
1836	0
1837	1
1838	0
1839	0
1840	0
1841	0
1842	0
1843	0
1844	0
1845	0
1846	0
1847	0
1848	0
1849	0
1850	0
1851	0
1852	0
1853	0
1854	0
1855	0
1856	0
1857	0
1858	0
1859	0
1860	0
1861	0
1862	0
1863	0
1864	0
1865	0
1866	0
1867	0
1868	0
1869	0
1870	1
1871	1
1872	1
1873	0
1874	0
1875	0
1876	0
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	1
1891	0
1892	0
1893	0
1894	0
1895	0
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	0
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	0
1910	0
1911	0
1912	0
1913	0
1914	0
1915	1
1916	0
1917	0
1918	1
1919	0
1920	0
1921	0
1922	0
1923	0
1924	0
1925	0
1926	0
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	1
1949	0
1950	0
1951	0
1952	0
1953	1
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	1
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	1
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	0
1989	0
1990	0
1991	0
1992	1
1993	0
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	1
2001	0
2002	0
2003	0
2004	0
2005	0
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	0
2017	0
2018	0
2019	0
2020	0
2021	0
2022	0
2023	0
2024	0
2025	0
2026	0
2027	0
2028	0
2029	0
2030	0
2031	0
2032	0
2033	0
2034	0
2035	0
2036	0
2037	0
2038	0
2039	0
2040	0
2041	0
2042	0
2043	0
2044	0
2045	0
2046	0
2047	0
2048	0
